WEEK,UNIQUE_PROGRAMS
2025-02-17 00:00:00.000,805
2025-02-10 00:00:00.000,854
2025-02-03 00:00:00.000,834
2025-01-27 00:00:00.000,838
2025-01-20 00:00:00.000,889
2024-12-23 00:00:00.000,767
2024-12-16 00:00:00.000,851
2024-12-09 00:00:00.000,880
2024-12-02 00:00:00.000,797
2025-01-13 00:00:00.000,821
2025-01-06 00:00:00.000,799
2024-12-30 00:00:00.000,760
2025-03-10 00:00:00.000,676
2025-03-03 00:00:00.000,775
2025-02-24 00:00:00.000,800
2024-10-07 00:00:00.000,627
2024-09-30 00:00:00.000,646
2024-09-23 00:00:00.000,610
2024-09-16 00:00:00.000,613
2024-11-25 00:00:00.000,760
2024-11-18 00:00:00.000,784
2024-11-11 00:00:00.000,748
2024-11-04 00:00:00.000,711
2024-10-28 00:00:00.000,760
2024-10-21 00:00:00.000,692
2024-10-14 00:00:00.000,671
2021-04-19 00:00:00.000,153
2021-04-12 00:00:00.000,175
2021-04-05 00:00:00.000,230
2021-03-29 00:00:00.000,285
2021-03-22 00:00:00.000,88
2023-06-12 00:00:00.000,508
2023-06-05 00:00:00.000,546
2023-05-29 00:00:00.000,559
2023-05-22 00:00:00.000,558
2020-10-19 00:00:00.000,33
2020-10-12 00:00:00.000,35
2020-10-05 00:00:00.000,23
2020-03-16 00:00:00.000,12
2023-05-15 00:00:00.000,570
2023-05-08 00:00:00.000,562
2023-05-01 00:00:00.000,602
2023-04-24 00:00:00.000,639
2020-12-28 00:00:00.000,49
2020-12-21 00:00:00.000,68
2020-12-14 00:00:00.000,59
2023-02-27 00:00:00.000,631
2023-02-20 00:00:00.000,624
2023-02-13 00:00:00.000,710
2023-02-06 00:00:00.000,691
2021-12-20 00:00:00.000,596
2021-12-13 00:00:00.000,612
2021-12-06 00:00:00.000,611
2021-11-29 00:00:00.000,577
2021-01-25 00:00:00.000,57
2021-01-18 00:00:00.000,50
2021-01-11 00:00:00.000,45
2021-01-04 00:00:00.000,53
2023-03-27 00:00:00.000,624
2023-03-20 00:00:00.000,652
2023-03-13 00:00:00.000,663
2023-03-06 00:00:00.000,645
2022-03-07 00:00:00.000,847
2022-02-28 00:00:00.000,865
2022-02-21 00:00:00.000,785
2022-02-14 00:00:00.000,765
2021-09-13 00:00:00.000,426
2021-09-06 00:00:00.000,412
2021-08-30 00:00:00.000,456
2020-12-07 00:00:00.000,29
2020-11-30 00:00:00.000,56
2020-11-23 00:00:00.000,38
2023-04-17 00:00:00.000,648
