WEEK,UNIQUE_USERS
2025-03-17 00:00:00.000,52541
2025-03-10 00:00:00.000,52514
2025-03-03 00:00:00.000,75160
2025-02-24 00:00:00.000,86657
2025-02-17 00:00:00.000,70685
2025-02-10 00:00:00.000,57021
2025-02-03 00:00:00.000,78962
2025-01-27 00:00:00.000,147274
2025-01-20 00:00:00.000,138856
2025-01-13 00:00:00.000,56489
2025-01-06 00:00:00.000,104046
2024-12-30 00:00:00.000,75097
2024-12-23 00:00:00.000,93047
2024-12-16 00:00:00.000,87552
2024-12-09 00:00:00.000,99565
2024-12-02 00:00:00.000,64088
2024-11-25 00:00:00.000,100758
2024-11-18 00:00:00.000,166929
2024-11-11 00:00:00.000,256758
2024-11-04 00:00:00.000,96339
2024-10-28 00:00:00.000,79735
2024-10-21 00:00:00.000,49263
2024-10-14 00:00:00.000,35930
2024-10-07 00:00:00.000,990172
2024-09-23 00:00:00.000,204391
2024-09-16 00:00:00.000,30802
2024-09-09 00:00:00.000,27480
2024-09-02 00:00:00.000,37677
2024-08-26 00:00:00.000,38129
2024-08-19 00:00:00.000,29761
2024-08-12 00:00:00.000,38950
2024-08-05 00:00:00.000,41058
2024-07-29 00:00:00.000,76969
2024-07-22 00:00:00.000,40018
2024-07-15 00:00:00.000,31198
2024-07-08 00:00:00.000,41803
2024-07-01 00:00:00.000,51153
2024-06-24 00:00:00.000,46690
2024-06-17 00:00:00.000,65201
2024-06-10 00:00:00.000,59748
2024-06-03 00:00:00.000,75595
2024-05-27 00:00:00.000,51013
2024-05-20 00:00:00.000,40711
2024-05-13 00:00:00.000,20113
2024-05-06 00:00:00.000,54273
2024-04-29 00:00:00.000,68787
2024-04-22 00:00:00.000,88944
2024-04-15 00:00:00.000,92613
2024-04-08 00:00:00.000,84528
2024-04-01 00:00:00.000,427109
2024-03-25 00:00:00.000,262153
2024-03-18 00:00:00.000,114055
2024-03-11 00:00:00.000,129712
2024-03-04 00:00:00.000,94798
2024-02-26 00:00:00.000,111679
2024-02-19 00:00:00.000,65639
2024-02-12 00:00:00.000,50951
2024-02-05 00:00:00.000,340112
2024-01-29 00:00:00.000,33832569
﻿
